cell	cell_type
S3_bcAACI	Macrophage
S3_bcAAGG	FLB4
S3_bcABFK	Erythrocyte1
S3_bcABIH	FLB3
S3_bcABJL	Macrophage
S3_bcABJV	Macrophage
S3_bcABON	Macrophage
S3_bcABXO	FLB4
S3_bcACAQ	FLB5
S3_bcACBW	Macrophage
S3_bcACRL	FLB4
S3_bcADKL	EarlyB
S3_bcADRA	Macrophage
S3_bcADRW	FLB4
S3_bcADSL	Macrophage
S3_bcADTE	FLB4
S3_bcADUU	FLB4
S3_bcADWS	Erythrocyte1
S3_bcADYT	Erythrocyte1
S3_bcAEAB	Macrophage
S3_bcAEAK	Endothelial
S3_bcAEJB	Erythrocyte1
S3_bcAELS	Erythrocyte1
S3_bcAFJZ	FLB4
S3_bcAFOK	Macrophage
S3_bcAFPD	Macrophage
S3_bcAFRG	BasalWE
S3_bcAFVD	Macrophage
S3_bcAFWO	Macrophage
S3_bcAGAM	Erythrocyte2
S3_bcAGBA	FLB5
S3_bcAGGF	Macrophage
S3_bcAGOE	FLB4
S3_bcAGOK	Macrophage
S3_bcAGTQ	FLB4
S3_bcAGWY	Macrophage
S3_bcAHFM	MyogenicBlastema
S3_bcAHGO	FLB3
S3_bcAHGU	FLB3
S3_bcAHHQ	Macrophage
S3_bcAHIO	EarlyB
S3_bcAHME	FLB5
S3_bcAHNH	Tcell
S3_bcAHZU	BasalWE
S3_bcAHZV	Tcell
S3_bcAICH	BasalWE
S3_bcAICZ	FLB4
S3_bcAIDD	FLB4
S3_bcAIIG	FLB4
S3_bcAIMW	FLB4
S3_bcAIXP	FLB3
S3_bcAIZV	Erythrocyte1
S3_bcAJGT	EarlyB
S3_bcAJGU	MyogenicBlastema
S3_bcAJUF	Tcell
S3_bcAKFO	FLB4
S3_bcAKGR	FLB4
S3_bcAKJG	MyogenicBlastema
S3_bcAKJT	Erythrocyte1
S3_bcAKKT	Erythrocyte1
S3_bcAKMR	FLB3
S3_bcAKZV	FLB5
S3_bcALHF	Macrophage
S3_bcALIA	FLB5
S3_bcALKC	Tcell
S3_bcALSU	Macrophage
S3_bcALTV	Macrophage
S3_bcALVB	FLB3
S3_bcALVE	Macrophage
S3_bcALXB	FLB4
S3_bcALXT	FLB5
S3_bcAMFM	FLB4
S3_bcAMHP	Macrophage
S3_bcAMIZ	FLB4
S3_bcAMMB	FLB3
S3_bcAMMM	FLB4
S3_bcAMPG	MyogenicBlastema
S3_bcANAP	FLB5
S3_bcANDE	FLB3
S3_bcANDX	Macrophage
S3_bcANGN	FLB4
S3_bcANSM	Erythrocyte1
S3_bcANUM	FLB4
S3_bcANVF	Macrophage
S3_bcANVL	Erythrocyte1
S3_bcANYC	Erythrocyte1
S3_bcAOMA	Macrophage
S3_bcAOML	FLB4
S3_bcAPAU	FLB5
S3_bcAPCF	Erythrocyte1
S3_bcAPHL	Tcell
S3_bcAPMS	FLB5
S3_bcAPXN	FLB3
S3_bcAQGP	FLB4
S3_bcAQJO	Macrophage
S3_bcAQNZ	Macrophage
S3_bcAQOF	Macrophage
S3_bcAQQW	Erythrocyte1
S3_bcAQWO	FLB4
S3_bcARAU	FLB4
S3_bcARFT	FLB5
S3_bcARJN	FLB4
S3_bcARKH	Erythrocyte1
S3_bcARME	FLB4
S3_bcARUD	Macrophage
S3_bcARYW	FLB5
S3_bcARYZ	FLB4
S3_bcARZC	Macrophage
S3_bcASQN	FLB4
S3_bcATDQ	FLB4
S3_bcATVD	Macrophage
S3_bcATZP	Macrophage
S3_bcAUAH	FLB4
S3_bcAUBO	FLB5
S3_bcAUDR	FLB4
S3_bcAUEJ	FLB4
S3_bcAUHD	Macrophage
S3_bcAUIM	Macrophage
S3_bcAUIY	FLB4
S3_bcAUJP	Erythrocyte1
S3_bcAULM	Erythrocyte1
S3_bcAUOB	FLB4
S3_bcAUZC	BasalWE
S3_bcAVCC	Tcell
S3_bcAVFZ	FLB4
S3_bcAVGT	Macrophage
S3_bcAVTA	Macrophage
S3_bcAVVQ	FLB4
S3_bcAVZL	Macrophage
S3_bcAWCY	FLB5
S3_bcAWFS	FLB4
S3_bcAWJA	FLB5
S3_bcAWLZ	Macrophage
S3_bcAWMN	Macrophage
S3_bcAWQM	FLB5
S3_bcAWSD	Erythrocyte1
S3_bcAWSE	FLB5
S3_bcAWVW	Macrophage
S3_bcAWXK	FLB4
S3_bcAXGX	Tcell
S3_bcAXHN	BasalWE
S3_bcAXWO	FLB3
S3_bcAXWR	FLB5
S3_bcAXYW	FLB5
S3_bcAXYY	FLB4
S3_bcAXZR	FLB4
S3_bcAYAD	FLB4
S3_bcAYFE	Macrophage
S3_bcAYJQ	FLB4
S3_bcAYKO	FLB5
S3_bcAYUM	Macrophage
S3_bcAZHL	Erythrocyte1
S3_bcAZLE	FLB4
S3_bcBAQI	FLB4
S3_bcBAWJ	FLB4
S3_bcBAXA	FLB5
S3_bcBBAL	FLB5
S3_bcBBIF	FLB4
S3_bcBBIR	FLB4
S3_bcBBWV	FLB4
S3_bcBCCK	BasalWE
S3_bcBCCL	Macrophage
S3_bcBCCP	FLB4
S3_bcBCFO	FLB4
S3_bcBCKP	Erythrocyte1
S3_bcBCLT	FLB4
S3_bcBCTO	Erythrocyte1
S3_bcBCUT	Tcell
S3_bcBDLD	FLB4
S3_bcBDML	Macrophage
S3_bcBDOU	Erythrocyte1
S3_bcBDQK	FLB4
S3_bcBDTV	Macrophage
S3_bcBDYR	Tcell
S3_bcBDYU	FLB4
S3_bcBDZM	FLB4
S3_bcBEKH	Macrophage
S3_bcBENT	Macrophage
S3_bcBEWP	FLB5
S3_bcBFCD	Erythrocyte1
S3_bcBFGB	MyogenicBlastema
S3_bcBFIX	Macrophage
S3_bcBFWS	FLB4
S3_bcBGDI	FLB4
S3_bcBGDZ	FLB4
S3_bcBGFI	BasalWE
S3_bcBGGU	Erythrocyte1
S3_bcBGHD	Macrophage
S3_bcBGPL	EarlyB
S3_bcBGSV	Macrophage
S3_bcBHJA	FLB4
S3_bcBHJG	FLB4
S3_bcBHJX	Macrophage
S3_bcBHKG	FLB3
S3_bcBHOU	FLB5
S3_bcBHSS	FLB4
S3_bcBHXR	FLB4
S3_bcBIDB	FLB4
S3_bcBIZW	Macrophage
S3_bcBJIR	FLB3
S3_bcBJJK	FLB4
S3_bcBJXC	FLB4
S3_bcBJZL	Erythrocyte1
S3_bcBKBP	Macrophage
S3_bcBKCF	Erythrocyte1
S3_bcBKES	FLB4
S3_bcBKGN	Erythrocyte1
S3_bcBKGR	FLB4
S3_bcBKIE	FLB4
S3_bcBKPE	EarlyB
S3_bcBKRS	FLB4
S3_bcBKXY	MyogenicBlastema
S3_bcBLBH	FLB4
S3_bcBLGG	Macrophage
S3_bcBLGT	Macrophage
S3_bcBLOE	Macrophage
S3_bcBLYD	Endothelial
S3_bcBMDQ	FLB4
S3_bcBMFF	Macrophage
S3_bcBMGW	MyogenicBlastema
S3_bcBMTH	Macrophage
S3_bcBNEB	FLB5
S3_bcBNEH	Tcell
S3_bcBNKA	Erythrocyte1
S3_bcBNQT	FLB4
S3_bcBNXG	FLB5
S3_bcBNZC	Macrophage
S3_bcBOIV	Macrophage
S3_bcBOPY	BasalWE
S3_bcBPCS	Erythrocyte1
S3_bcBPIG	FLB5
S3_bcBPLS	Erythrocyte1
S3_bcBPRA	Macrophage
S3_bcBPRH	Endothelial
S3_bcBPUJ	FLB3
S3_bcBQHB	Macrophage
S3_bcBQHV	Tcell
S3_bcBQJG	FLB4
S3_bcBQKM	FLB4
S3_bcBQPD	BasalWE
S3_bcBQRL	FLB3
S3_bcBQYM	FLB4
S3_bcBQZC	FLB5
S3_bcBRAT	FLB5
S3_bcBRAX	FLB4
S3_bcBRHA	FLB3
S3_bcBRLE	Macrophage
S3_bcBROK	FLB4
S3_bcBROX	FLB5
S3_bcBSBS	FLB4
S3_bcBSBY	Macrophage
S3_bcBSDF	Erythrocyte1
S3_bcBSGM	Macrophage
S3_bcBSLV	Erythrocyte1
S3_bcBSQY	FLB4
S3_bcBSSB	Tcell
S3_bcBTAR	FLB4
S3_bcBTLE	Tcell
S3_bcBTOQ	EarlyB
S3_bcBTRR	BasalWE
S3_bcBTXA	FLB4
S3_bcBTZY	Erythrocyte1
S3_bcBUEU	Macrophage
S3_bcBUFW	Macrophage
S3_bcBUMQ	MyogenicBlastema
S3_bcBUNM	FLB4
S3_bcBUTU	Erythrocyte2
S3_bcBVPF	FLB4
S3_bcBVPO	EarlyB
S3_bcBVQC	FLB3
S3_bcBVRG	Endothelial
S3_bcBVYB	FLB4
S3_bcBWDT	FLB4
S3_bcBWKQ	FLB5
S3_bcBWMH	FLB3
S3_bcBWZC	FLB4
S3_bcBXDE	FLB4
S3_bcBXGB	FLB4
S3_bcBXHP	FLB5
S3_bcBXQR	FLB4
S3_bcBXSA	Macrophage
S3_bcBXUG	Macrophage
S3_bcBXXP	FLB5
S3_bcBXXT	EarlyB
S3_bcBYDC	Macrophage
S3_bcBYFW	Erythrocyte1
S3_bcBYMC	EarlyB
S3_bcBYNP	Macrophage
S3_bcBYPS	FLB4
S3_bcBYRE	FLB4
S3_bcBZLS	Macrophage
S3_bcBZSE	FLB3
S3_bcCACR	Erythrocyte1
S3_bcCAIF	Erythrocyte1
S3_bcCAOW	Macrophage
S3_bcCASD	BasalWE
S3_bcCASX	FLB4
S3_bcCBKO	FLB4
S3_bcCBMT	Erythrocyte1
S3_bcCBPO	Macrophage
S3_bcCBRF	FLB4
S3_bcCBSH	Macrophage
S3_bcCBUW	Macrophage
S3_bcCBWF	FLB5
S3_bcCCEO	FLB4
S3_bcCCES	Macrophage
S3_bcCCNG	Erythrocyte2
S3_bcCCNK	FLB5
S3_bcCCPO	FLB4
S3_bcCCQR	Macrophage
S3_bcCCSQ	Erythrocyte1
S3_bcCCUV	Macrophage
S3_bcCCZR	Macrophage
S3_bcCDCW	FLB3
S3_bcCDGY	FLB4
S3_bcCDLW	FLB5
S3_bcCDPV	Tcell
S3_bcCDQE	FLB4
S3_bcCDQK	Macrophage
S3_bcCDYB	FLB4
S3_bcCEAH	FLB4
S3_bcCEGA	Macrophage
S3_bcCEKB	Macrophage
S3_bcCEMX	FLB4
S3_bcCEQL	FLB5
S3_bcCEQS	Erythrocyte2
S3_bcCERQ	FLB4
S3_bcCESL	FLB4
S3_bcCEVA	FLB4
S3_bcCEVU	Endothelial
S3_bcCEZC	Macrophage
S3_bcCFBW	Macrophage
S3_bcCFKX	FLB5
S3_bcCFPB	FLB3
S3_bcCFSR	FLB4
S3_bcCFTG	FLB4
S3_bcCFUI	Macrophage
S3_bcCFUZ	Erythrocyte1
S3_bcCFWK	Macrophage
S3_bcCFYA	Erythrocyte1
S3_bcCFYE	FLB5
S3_bcCFZF	Erythrocyte1
S3_bcCGBX	EarlyB
S3_bcCGEI	Macrophage
S3_bcCGJU	FLB3
S3_bcCGKH	FLB4
S3_bcCGNH	Erythrocyte1
S3_bcCGRD	Tcell
S3_bcCGSW	Erythrocyte1
S3_bcCGVG	FLB4
S3_bcCGVO	Erythrocyte1
S3_bcCGXL	Macrophage
S3_bcCGZA	FLB5
S3_bcCHJL	Macrophage
S3_bcCHLJ	FLB4
S3_bcCHWE	Macrophage
S3_bcCHYM	Macrophage
S3_bcCIDE	Erythrocyte1
S3_bcCIGN	Erythrocyte1
S3_bcCIHZ	Tcell
S3_bcCIJG	FLB4
S3_bcCILF	Tenocyte
S3_bcCIQE	EarlyB
S3_bcCIUD	FLB4
S3_bcCIVA	Macrophage
S3_bcCIVJ	Macrophage
S3_bcCIWM	FLB4
S3_bcCJAE	Macrophage
S3_bcCJBE	FLB4
S3_bcCJEW	Erythrocyte1
S3_bcCJGU	Macrophage
S3_bcCJJU	FLB5
S3_bcCJMP	FLB4
S3_bcCJND	FLB3
S3_bcCJTM	FLB4
S3_bcCJTO	FLB4
S3_bcCJVS	FLB4
S3_bcCJWS	MyogenicBlastema
S3_bcCKFJ	Macrophage
S3_bcCKFN	Erythrocyte1
S3_bcCKFY	FLB5
S3_bcCKIB	FLB5
S3_bcCKKF	Macrophage
S3_bcCKKJ	FLB5
S3_bcCKKP	FLB4
S3_bcCKRA	FLB5
S3_bcCKRL	FLB4
S3_bcCKVL	Macrophage
S3_bcCKXC	EarlyB
S3_bcCKZQ	FLB4
S3_bcCLFJ	Tcell
S3_bcCLHF	Erythrocyte1
S3_bcCLKD	FLB5
S3_bcCLKR	BasalWE
S3_bcCLPO	Macrophage
S3_bcCLVI	Macrophage
S3_bcCLVL	Macrophage
S3_bcCLXL	Macrophage
S3_bcCLXW	BasalWE
S3_bcCLYZ	Macrophage
S3_bcCMAQ	FLB5
S3_bcCMAV	FLB4
S3_bcCMLS	Macrophage
S3_bcCMRA	Erythrocyte1
S3_bcCMUG	EarlyB
S3_bcCMWZ	Erythrocyte1
S3_bcCNAE	Macrophage
S3_bcCNOC	FLB4
S3_bcCNXC	Erythrocyte1
S3_bcCOLK	Macrophage
S3_bcCONO	FLB4
S3_bcCOON	Erythrocyte2
S3_bcCOUK	Macrophage
S3_bcCOVI	FLB3
S3_bcCPCU	Macrophage
S3_bcCPFX	FLB5
S3_bcCPOF	BasalWE
S3_bcCPPP	FLB5
S3_bcCPSK	Erythrocyte1
S3_bcCPSR	FLB3
S3_bcCQIX	Macrophage
S3_bcCQPI	FLB4
S3_bcCQPP	Erythrocyte1
S3_bcCQRA	MyogenicBlastema
S3_bcCQRH	BasalWE
S3_bcCQRJ	FLB5
S3_bcCQWQ	Tcell
S3_bcCQZG	FLB5
S3_bcCRBU	Erythrocyte1
S3_bcCRIU	FLB4
S3_bcCRWU	FLB4
S3_bcCRXP	FLB5
S3_bcCSAV	Macrophage
S3_bcCSBR	EarlyB
S3_bcCSCM	Macrophage
S3_bcCSDO	Macrophage
S3_bcCSFQ	Tcell
S3_bcCSHP	Macrophage
S3_bcCSHT	FLB4
S3_bcCSIA	Macrophage
S3_bcCSJS	FLB5
S3_bcCSRB	FLB4
S3_bcCSTT	FLB4
S3_bcCSXC	Erythrocyte1
S3_bcCSYF	Erythrocyte1
S3_bcCTBD	FLB5
S3_bcCTCL	Macrophage
S3_bcCTMZ	Macrophage
S3_bcCTWA	FLB4
S3_bcCTWE	FLB4
S3_bcCTXE	Erythrocyte1
S3_bcCTZI	FLB4
S3_bcCUCD	Erythrocyte1
S3_bcCUME	BasalWE
S3_bcCUOX	Macrophage
S3_bcCUTO	FLB3
S3_bcCUWW	Macrophage
S3_bcCVAN	FLB5
S3_bcCVGO	FLB4
S3_bcCVIM	EarlyB
S3_bcCVIZ	Erythrocyte1
S3_bcCVKO	MyogenicBlastema
S3_bcCVLX	Macrophage
S3_bcCVMT	FLB4
S3_bcCVRM	FLB4
S3_bcCVZP	Tcell
S3_bcCWEX	FLB4
S3_bcCWKG	Macrophage
S3_bcCWUA	FLB4
S3_bcCWXS	FLB5
S3_bcCXAH	Erythrocyte1
S3_bcCXEH	Tcell
S3_bcCXJN	FLB4
S3_bcCXLE	EarlyB
S3_bcCXOD	FLB5
S3_bcCXQS	FLB4
S3_bcCXVC	FLB5
S3_bcCYAM	Macrophage
S3_bcCYBE	EarlyB
S3_bcCYDP	Erythrocyte1
S3_bcCYKJ	Macrophage
