cell	Cell_type
i3_intact_S1_bcAAJM	Epidermal_Langerhans
i3_intact_S1_bcAALG	Intermediate_epidermis
i3_intact_S1_bcAALL	Fibroblast
i3_intact_S1_bcABGZ	Intermediate_epidermis
i3_intact_S1_bcABPH	Myeloid
i3_intact_S1_bcACJN	Myeloid
i3_intact_S1_bcACJV	Intermediate_epidermis
i3_intact_S1_bcACPB	Myeloid
i3_intact_S1_bcACSE	Erythrocyte
i3_intact_S1_bcAERD	Intermediate_epidermis
i3_intact_S1_bcAETM	Early_B
i3_intact_S1_bcAEWR	Intermediate_epidermis
i3_intact_S1_bcAFFG	Erythrocyte
i3_intact_S1_bcAFMP	Intermediate_epidermis
i3_intact_S1_bcAGCQ	SSCs
i3_intact_S1_bcAGDY	Myeloid
i3_intact_S1_bcAGKG	Intermediate_epidermis
i3_intact_S1_bcAGLK	SSCs
i3_intact_S1_bcAGPK	Erythrocyte
i3_intact_S1_bcAGUI	Proliferating_Epidermis
i3_intact_S1_bcAGXO	Intermediate_epidermis
i3_intact_S1_bcAGYK	Proliferating_Epidermis
i3_intact_S1_bcAGYO	Intermediate_epidermis
i3_intact_S1_bcAHBF	Erythrocyte
i3_intact_S1_bcAHHS	Intermediate_epidermis
i3_intact_S1_bcAHNW	Intermediate_epidermis
i3_intact_S1_bcAHTT	Intermediate_epidermis
i3_intact_S1_bcAHZL	Tcells
i3_intact_S1_bcAICF	Erythrocyte
i3_intact_S1_bcAIRK	Proliferating_Epidermis
i3_intact_S1_bcAIXQ	Intermediate_epidermis
i3_intact_S1_bcAIXY	Intermediate_epidermis
i3_intact_S1_bcAJBW	Epidermal_Langerhans
i3_intact_S1_bcAJEQ	Intermediate_epidermis
i3_intact_S1_bcAJPG	Intermediate_epidermis
i3_intact_S1_bcAJSP	Erythrocyte
i3_intact_S1_bcAJWG	Intermediate_epidermis
i3_intact_S1_bcAKFB	SSCs
i3_intact_S1_bcAKMB	Intermediate_epidermis
i3_intact_S1_bcAKRX	SSCs
i3_intact_S1_bcAKWO	Intermediate_epidermis
i3_intact_S1_bcALFH	Intermediate_epidermis
i3_intact_S1_bcALKD	Proliferating_Epidermis
i3_intact_S1_bcALME	Intermediate_epidermis
i3_intact_S1_bcALNS	Intermediate_epidermis
i3_intact_S1_bcALXB	Erythrocyte
i3_intact_S1_bcAMXC	Intermediate_epidermis
i3_intact_S1_bcANIR	Myeloid
i3_intact_S1_bcANXE	Tcells
i3_intact_S1_bcAOMQ	Intermediate_epidermis
i3_intact_S1_bcAOOU	Intermediate_epidermis
i3_intact_S1_bcAOTM	Proliferating_Epidermis
i3_intact_S1_bcAOYZ	Intermediate_epidermis
i3_intact_S1_bcAPFK	Intermediate_epidermis
i3_intact_S1_bcAPKK	SSCs
i3_intact_S1_bcAPMA	Intermediate_epidermis
i3_intact_S1_bcAPPK	Intermediate_epidermis
i3_intact_S1_bcAPUY	SSCs
i3_intact_S1_bcAPZE	Intermediate_epidermis
