cell	Cell_type
S1_bcAACK	Bcells
S1_bcAAGP	Erythrocyte
S1_bcAAIX	FLB7
S1_bcAANJ	Erythrocyte
S1_bcAAXX	Erythrocyte
S1_bcAAYB	IW5
S1_bcABAG	SSC
S1_bcABAY	Erythrocyte
S1_bcABEW	Myogenic_blastema
S1_bcABGY	Erythrocyte
S1_bcABJG	Erythrocyte
S1_bcABMZ	Erythrocyte
S1_bcABQY	Macrophage
S1_bcABRJ	IW4
S1_bcABSC	Erythrocyte
S1_bcABSE	Erythrocyte
S1_bcABWN	FLB7
S1_bcACAL	Bcells
S1_bcACFR	IW5
S1_bcACGV	Erythrocyte
S1_bcACJM	Erythrocyte
S1_bcACKW	Erythrocyte
S1_bcACOI	Erythrocyte
S1_bcACOX	Erythrocyte
S1_bcACPG	Erythrocyte
S1_bcACTT	Erythrocyte
S1_bcACVH	IW5
S1_bcACWD	Erythrocyte
S1_bcACWH	IW4
S1_bcACWW	Erythrocyte
S1_bcADAH	FLB9
S1_bcADAK	BasalWE2
S1_bcADCL	Erythrocyte
S1_bcADDL	Erythrocyte
S1_bcADDU	FLB7
S1_bcADGG	IW4
S1_bcADMD	Erythrocyte
S1_bcADRT	Endo
S1_bcADSF	FLB9
S1_bcAEBF	Erythrocyte
S1_bcAECV	Erythrocyte
S1_bcAEDG	Erythrocyte
S1_bcAENA	Erythrocyte
S1_bcAEQI	Erythrocyte
S1_bcAEXH	Erythrocyte
S1_bcAEYP	Erythrocyte
S1_bcAEZB	Erythrocyte
S1_bcAFAX	Erythrocyte
S1_bcAFCQ	Erythrocyte
S1_bcAFCT	Schwann
S1_bcAFFL	Erythrocyte
S1_bcAFGE	Erythrocyte
S1_bcAFGK	Tcells
S1_bcAFGW	BasalWE1
S1_bcAFIM	Macrophage
S1_bcAFKS	BasalWE2
S1_bcAFMB	Erythrocyte
S1_bcAFMV	Erythrocyte
S1_bcAFOR	Erythrocyte
S1_bcAFYF	Erythrocyte
S1_bcAFYZ	Erythrocyte
S1_bcAFZB	FLB7
S1_bcAGAH	Erythrocyte
S1_bcAGAI	Erythrocyte
S1_bcAGDL	Erythrocyte
S1_bcAGGF	FLB9
