Cell	cell_type
N4_bcAABP	Erythrocyte
N4_bcAAGS	Recruited_macrophage
N4_bcAAIO	Erythrocyte
N4_bcAANL	Recruited_macrophage
N4_bcAANR	Erythrocyte
N4_bcAANZ	Erythrocyte
N4_bcAAQE	Neutrophils1
N4_bcAARN	Erythrocyte
N4_bcAASD	FLB1
N4_bcAASP	Erythrocyte
N4_bcAAVG	Erythrocyte
N4_bcAAXP	Schwann
N4_bcAAXR	Endo
N4_bcAAZA	Recruited_macrophage
N4_bcABAI	Erythrocyte
N4_bcABCC	Erythrocyte
N4_bcABCU	Neutrophils1
N4_bcABDA	Erythrocyte
N4_bcABDH	FLB1
N4_bcABHN	IW1
N4_bcABIB	Leydig
N4_bcABOZ	Erythrocyte
N4_bcABRL	Recruited_macrophage
N4_bcABVE	Erythrocyte
N4_bcABWA	Neutrophils1
N4_bcACAT	Recruited_macrophage
N4_bcACCF	Erythrocyte
N4_bcACFJ	Erythrocyte
N4_bcACFY	Tcells
N4_bcACIN	Erythrocyte
N4_bcACLI	Neutrophils1
N4_bcACLU	Erythrocyte
N4_bcACQX	Erythrocyte
N4_bcACSA	SSC
N4_bcACSM	Early_B
N4_bcACSX	Erythrocyte
N4_bcACTF	Erythrocyte
N4_bcACZI	Neutrophils1
N4_bcADBU	Neutrophils1
N4_bcADKN	DC
N4_bcADKY	Early_B
N4_bcADPF	DC
N4_bcADRS	FLB2
N4_bcADSJ	IW1
N4_bcADTL	Erythrocyte
N4_bcADTS	IW3
N4_bcADWZ	Tcells
N4_bcADYF	Tcells
N4_bcADYJ	Tcells
N4_bcAEHY	Leydig
N4_bcAEKH	Erythrocyte
N4_bcAENN	Bcell
N4_bcAESY	IW1
N4_bcAEZH	FLB1
N4_bcAFEG	Recruited_macrophage
N4_bcAFGJ	FLB2
N4_bcAFGV	SSC
N4_bcAFJD	IW1
N4_bcAFKB	Erythrocyte
N4_bcAFKD	Erythrocyte
N4_bcAFMK	Erythrocyte
N4_bcAFMM	Erythrocyte
N4_bcAFOT	Neutrophils1
N4_bcAFRJ	Neutrophils1
N4_bcAFTQ	Neutrophils1
N4_bcAFUR	FLB1
N4_bcAFWM	FLB1
N4_bcAFZX	Erythrocyte
N4_bcAGAZ	IW1
N4_bcAGDJ	Erythrocyte
N4_bcAGEU	Recruited_macrophage
N4_bcAGEV	FLB2
N4_bcAGIN	Recruited_macrophage
N4_bcAHCE	Neutrophils1
N4_bcAHDV	Schwann
N4_bcAHHY	Erythrocyte
N4_bcAHIZ	Neutrophils1
N4_bcAHJI	DC
N4_bcAHPQ	Erythrocyte
N4_bcAHPT	Leydig
N4_bcAHSN	SSC
N4_bcAHVY	Erythrocyte
N4_bcAHXB	Erythrocyte
N4_bcAHXL	Neutrophils1
N4_bcAHYY	IW1
N4_bcAIAE	Erythrocyte
N4_bcAICF	Neutrophils1
N4_bcAIDC	FLB1
N4_bcAIFH	Erythrocyte
N4_bcAIFO	Tcells
N4_bcAIJZ	Erythrocyte
N4_bcAINQ	Endo
N4_bcAINT	Erythrocyte
N4_bcAION	PhagNeutrophils
N4_bcAIWR	Neutrophils1
N4_bcAIXK	Erythrocyte
N4_bcAIZM	Neutrophils1
N4_bcAJAJ	Neutrophils1
N4_bcAJBE	Neutrophils1
N4_bcAJBH	Erythrocyte
N4_bcAJKB	IW3
N4_bcAJLL	Early_B
N4_bcAJLO	Recruited_macrophage
N4_bcAJNL	Erythrocyte
N4_bcAJOA	Erythrocyte
N4_bcAJOG	PhagNeutrophils
N4_bcAJQB	FLB1
N4_bcAJQI	Recruited_macrophage
N4_bcAJQM	Erythrocyte
N4_bcAJVG	SSC
N4_bcAJWP	IW3
N4_bcAKDK	Neutrophils1
N4_bcAKEL	Recruited_macrophage
N4_bcAKGT	Bcell
N4_bcAKHN	Neutrophils1
N4_bcAKLM	DC
N4_bcAKMJ	Erythrocyte
N4_bcAKSM	FLB1
N4_bcAKWG	Erythrocyte
N4_bcAKXK	IW1
N4_bcALAT	IW1
N4_bcALBH	Erythrocyte
N4_bcALEQ	IW1
N4_bcALIM	IW1
N4_bcALJH	Erythrocyte
N4_bcALJI	Leydig
N4_bcALJJ	Leydig
N4_bcALML	Recruited_macrophage
N4_bcALOK	IW3
N4_bcALQH	Erythrocyte
N4_bcALQZ	IW3
N4_bcALTC	FLB1
N4_bcALWP	Neutrophils1
N4_bcAMAW	Neutrophils1
N4_bcAMBH	Neutrophils2
N4_bcAMCN	FLB1
N4_bcAMHB	FLB2
N4_bcAMHJ	IW1
N4_bcAMKE	Tcells
N4_bcAMOA	Erythrocyte
N4_bcAMOI	Neutrophils1
N4_bcAMQT	IW1
N4_bcAMSF	Erythrocyte
N4_bcAMUM	Neutrophils1
N4_bcAMVK	Erythrocyte
N4_bcAMVQ	FLB1
N4_bcAMWI	Erythrocyte
N4_bcAMXV	Recruited_macrophage
N4_bcAMXW	Erythrocyte
N4_bcANBA	Schwann
N4_bcANGE	IW1
N4_bcANSS	Leydig
N4_bcANVI	PhagNeutrophils
N4_bcANVS	IW3
N4_bcANWW	IW3
N4_bcANXE	Bcell
N4_bcANYG	IW3
N4_bcANZB	Neutrophils1
N4_bcAOAQ	Neutrophils1
N4_bcAOCN	Neutrophils1
N4_bcAOHA	Neutrophils1
N4_bcAOJT	Erythrocyte
N4_bcAOKS	Neutrophils2
N4_bcAONI	Tcells
N4_bcAONK	Erythrocyte
N4_bcAOQG	Neutrophils2
N4_bcAORJ	Neutrophils1
N4_bcAORO	IW1
N4_bcAOTI	Neutrophils1
N4_bcAOUG	Recruited_macrophage
